"Grupo Hospital" "Grupo Cluster" "Hospital Recodificado" "N"
4 5 "-1468647043-245326524" 7903
4 5 "2017798514694269509" 11444
4 5 "6785908421717601093" 6659
4 5 "-3948069441902176325" 13762
4 5 "1752873316-1017054652" 1637
4 4 "-398345888794880068" 16385
4 4 "677411144-1470084284" 2243
4 4 "1752430963-429873596" 875
3 4 "-3959599681650518086" 12192
3 4 "-397825696459335749" 8205
3 4 "2020872549-647894458" 6966
3 3 "946141513-1168024764" 4158
3 3 "-1471938236-1755285183" 7140
2 99 "-3943871041533077568" 3322
2 99 "944116091291607366" 689
2 99 "-1203072644593595718" 115
2 99 "-129746591962721860" 721
2 6 "-129746591962721860" 1310
2 3 "-1472122499828415297" 2984
2 3 "947054971-161377467" 2165
2 3 "6786010821767932736" 5806
2 3 "679457089-882872511" 3974
2 3 "-1469976252-1302300351" 486
2 2 "-1203390089-1184784059" 2724
2 2 "946731337409033541" 2680
2 1 "-126316179-345913274" 1914
2 1 "2017474930-1352550843" 2717
1 99 "1751214436-1201604027" 2209
1 6 "1752934771-748640699" 2060
1 6 "-1468257923-849306299" 1870
1 6 "-395742868-1872701375" 489
1 2 "-395722400543221825" 1779
1 1 "-1201309371979462469" 1119
1 1 "945944896677478213" 223
1 1 "-12004573481717669189" 12
